vmax_inner_option,km_inner_option,vmax_outer_option,km_outer_option,ki_option,r2
0.1,0.1,0.1,0.1,0.1,-1.5962288893286867
0.1,0.1,0.1,0.1,1.0,-1.5962288893286867
0.1,0.1,0.1,0.1,10.0,-1.5962288893286867
0.1,0.1,0.1,1.0,0.1,-1.5962288893286867
0.1,0.1,0.1,1.0,1.0,-1.5962288893286867
0.1,0.1,0.1,1.0,10.0,-1.5962288893286867
0.1,0.1,0.1,10.0,0.1,-1.5962288893286867
0.1,0.1,0.1,10.0,1.0,-1.5962288893286867
0.1,0.1,0.1,10.0,10.0,-1.5962288893286867
0.1,0.1,1.0,0.1,0.1,-1.4243403372353054
0.1,0.1,1.0,0.1,1.0,-1.4226055540031646
0.1,0.1,1.0,0.1,10.0,-1.4224310034759409
0.1,0.1,1.0,1.0,0.1,-1.4576151710291159
0.1,0.1,1.0,1.0,1.0,-1.4423109172938187
0.1,0.1,1.0,1.0,10.0,-1.4407023466051871
0.1,0.1,1.0,10.0,0.1,-1.5906645856382777
0.1,0.1,1.0,10.0,1.0,-1.5644803653027441
0.1,0.1,1.0,10.0,10.0,-1.5588464455240856
0.1,0.1,10.0,0.1,0.1,-0.07190054382319522
0.1,0.1,10.0,0.1,1.0,-0.061633190414936756
0.1,0.1,10.0,0.1,10.0,-0.06063605802831984
0.1,0.1,10.0,1.0,0.1,-0.15612191859651636
0.1,0.1,10.0,1.0,1.0,-0.08774706733432769
0.1,0.1,10.0,1.0,10.0,-0.07801306850128298
0.1,0.1,10.0,10.0,0.1,-0.5522574702827932
0.1,0.1,10.0,10.0,1.0,-0.2866751011837132
0.1,0.1,10.0,10.0,10.0,-0.23611242035894775
0.1,1.0,0.1,0.1,0.1,-1.5962288893286867
0.1,1.0,0.1,0.1,1.0,-1.5962288893286867
0.1,1.0,0.1,0.1,10.0,-1.5962288893286867
0.1,1.0,0.1,1.0,0.1,-1.5962288893286867
0.1,1.0,0.1,1.0,1.0,-1.5962288893286867
0.1,1.0,0.1,1.0,10.0,-1.5962288893286867
0.1,1.0,0.1,10.0,0.1,-1.5962288893286867
0.1,1.0,0.1,10.0,1.0,-1.5962288893286867
0.1,1.0,0.1,10.0,10.0,-1.5962288893286867
0.1,1.0,1.0,0.1,0.1,-1.5962288893286867
0.1,1.0,1.0,0.1,1.0,-1.5962288893286867
0.1,1.0,1.0,0.1,10.0,-1.5962288893286867
0.1,1.0,1.0,1.0,0.1,-1.5962288893286867
0.1,1.0,1.0,1.0,1.0,-1.5962288893286867
0.1,1.0,1.0,1.0,10.0,-1.5962288893286867
0.1,1.0,1.0,10.0,0.1,-1.5962288893286867
0.1,1.0,1.0,10.0,1.0,-1.5962288893286867
0.1,1.0,1.0,10.0,10.0,-1.5962288893286867
0.1,1.0,10.0,0.1,0.1,-1.3210140546068114
0.1,1.0,10.0,0.1,1.0,-1.3007965658548408
0.1,1.0,10.0,0.1,10.0,-1.2986548788833567
0.1,1.0,10.0,1.0,0.1,-1.4455047390064402
0.1,1.0,10.0,1.0,1.0,-1.33911679522594
0.1,1.0,10.0,1.0,10.0,-1.3212307250930713
0.1,1.0,10.0,10.0,0.1,-1.5962288893286867
0.1,1.0,10.0,10.0,1.0,-1.5214028348237592
0.1,1.0,10.0,10.0,10.0,-1.4693433005884167
0.1,10.0,0.1,0.1,0.1,-1.5962288893286867
0.1,10.0,0.1,0.1,1.0,-1.5962288893286867
0.1,10.0,0.1,0.1,10.0,-1.5962288893286867
0.1,10.0,0.1,1.0,0.1,-1.5962288893286867
0.1,10.0,0.1,1.0,1.0,-1.5962288893286867
0.1,10.0,0.1,1.0,10.0,-1.5962288893286867
0.1,10.0,0.1,10.0,0.1,-1.5962288893286867
0.1,10.0,0.1,10.0,1.0,-1.5962288893286867
0.1,10.0,0.1,10.0,10.0,-1.5962288893286867
0.1,10.0,1.0,0.1,0.1,-1.5962288893286867
0.1,10.0,1.0,0.1,1.0,-1.5962288893286867
0.1,10.0,1.0,0.1,10.0,-1.5962288893286867
0.1,10.0,1.0,1.0,0.1,-1.5962288893286867
0.1,10.0,1.0,1.0,1.0,-1.5962288893286867
0.1,10.0,1.0,1.0,10.0,-1.5962288893286867
0.1,10.0,1.0,10.0,0.1,-1.5962288893286867
0.1,10.0,1.0,10.0,1.0,-1.5962288893286867
0.1,10.0,1.0,10.0,10.0,-1.5962288893286867
0.1,10.0,10.0,0.1,0.1,-1.5962288893286867
0.1,10.0,10.0,0.1,1.0,-1.5962288893286867
0.1,10.0,10.0,0.1,10.0,-1.5962288893286867
0.1,10.0,10.0,1.0,0.1,-1.5962288893286867
0.1,10.0,10.0,1.0,1.0,-1.5962288893286867
0.1,10.0,10.0,1.0,10.0,-1.5962288893286867
0.1,10.0,10.0,10.0,0.1,-1.5962288893286867
0.1,10.0,10.0,10.0,1.0,-1.5962288893286867
0.1,10.0,10.0,10.0,10.0,-1.5962288893286867
1.0,0.1,0.1,0.1,0.1,-1.5962288893286867
1.0,0.1,0.1,0.1,1.0,-1.5962288893286867
1.0,0.1,0.1,0.1,10.0,-1.5962288893286867
1.0,0.1,0.1,1.0,0.1,-1.5962288893286867
1.0,0.1,0.1,1.0,1.0,-1.5962288893286867
1.0,0.1,0.1,1.0,10.0,-1.5962288893286867
1.0,0.1,0.1,10.0,0.1,-1.5962288893286867
1.0,0.1,0.1,10.0,1.0,-1.5962288893286867
1.0,0.1,0.1,10.0,10.0,-1.5962288893286867
1.0,0.1,1.0,0.1,0.1,-8.225277174874712
1.0,0.1,1.0,0.1,1.0,-8.282831689754033
1.0,0.1,1.0,0.1,10.0,-8.293199997668944
1.0,0.1,1.0,1.0,0.1,-3.267617714948778
1.0,0.1,1.0,1.0,1.0,-3.731855942658509
1.0,0.1,1.0,1.0,10.0,-3.78443029252706
1.0,0.1,1.0,10.0,0.1,0.26848153250316664
1.0,0.1,1.0,10.0,1.0,0.4185623636083228
1.0,0.1,1.0,10.0,10.0,0.4345589665464863
1.0,0.1,10.0,0.1,0.1,-6009.82545144643
1.0,0.1,10.0,0.1,1.0,-6017.001074528095
1.0,0.1,10.0,0.1,10.0,-6017.151236297174
1.0,0.1,10.0,1.0,0.1,-5840.900030612892
1.0,0.1,10.0,1.0,1.0,-5969.287516340942
1.0,0.1,10.0,1.0,10.0,-6014.575533730021
1.0,0.1,10.0,10.0,0.1,-4917.74228051451
1.0,0.1,10.0,10.0,1.0,-5226.50136364126
1.0,0.1,10.0,10.0,10.0,-5298.9087584630615
1.0,1.0,0.1,0.1,0.1,-1.5962288893286867
1.0,1.0,0.1,0.1,1.0,-1.5962288893286867
1.0,1.0,0.1,0.1,10.0,-1.5962288893286867
1.0,1.0,0.1,1.0,0.1,-1.5962288893286867
1.0,1.0,0.1,1.0,1.0,-1.5962288893286867
1.0,1.0,0.1,1.0,10.0,-1.5962288893286867
1.0,1.0,0.1,10.0,0.1,-1.5962288893286867
1.0,1.0,0.1,10.0,1.0,-1.5962288893286867
1.0,1.0,0.1,10.0,10.0,-1.5962288893286867
1.0,1.0,1.0,0.1,0.1,0.06959641708640762
1.0,1.0,1.0,0.1,1.0,0.08877020235817168
1.0,1.0,1.0,0.1,10.0,0.09070210519541078
1.0,1.0,1.0,1.0,0.1,-0.2717965740813011
1.0,1.0,1.0,1.0,1.0,-0.12906802544446494
1.0,1.0,1.0,1.0,10.0,-0.11290425982584096
1.0,1.0,1.0,10.0,0.1,-1.3498362080111121
1.0,1.0,1.0,10.0,1.0,-1.1676261905375283
1.0,1.0,1.0,10.0,10.0,-1.1401111753226338
1.0,1.0,10.0,0.1,0.1,-5753.870645040016
1.0,1.0,10.0,0.1,1.0,-5791.711213673484
1.0,1.0,10.0,0.1,10.0,-5793.603702228259
1.0,1.0,10.0,1.0,0.1,-4690.043073500562
1.0,1.0,10.0,1.0,1.0,-5612.994003449646
1.0,1.0,10.0,1.0,10.0,-5782.679443289999
1.0,1.0,10.0,10.0,0.1,-2716.8022902832727
1.0,1.0,10.0,10.0,1.0,-4176.29865723028
1.0,1.0,10.0,10.0,10.0,-4466.671275689474
1.0,10.0,0.1,0.1,0.1,-1.5962288893286867
1.0,10.0,0.1,0.1,1.0,-1.5962288893286867
1.0,10.0,0.1,0.1,10.0,-1.5962288893286867
1.0,10.0,0.1,1.0,0.1,-1.5962288893286867
1.0,10.0,0.1,1.0,1.0,-1.5962288893286867
1.0,10.0,0.1,1.0,10.0,-1.5962288893286867
1.0,10.0,0.1,10.0,0.1,-1.5962288893286867
1.0,10.0,0.1,10.0,1.0,-1.5962288893286867
1.0,10.0,0.1,10.0,10.0,-1.5962288893286867
1.0,10.0,1.0,0.1,0.1,-1.5962288893286867
1.0,10.0,1.0,0.1,1.0,-1.5962288893286867
1.0,10.0,1.0,0.1,10.0,-1.5962288893286867
1.0,10.0,1.0,1.0,0.1,-1.5962288893286867
1.0,10.0,1.0,1.0,1.0,-1.5962288893286867
1.0,10.0,1.0,1.0,10.0,-1.5962288893286867
1.0,10.0,1.0,10.0,0.1,-1.5962288893286867
1.0,10.0,1.0,10.0,1.0,-1.5962288893286867
1.0,10.0,1.0,10.0,10.0,-1.5962288893286867
1.0,10.0,10.0,0.1,0.1,-288.42284216566907
1.0,10.0,10.0,0.1,1.0,-906.3177509381458
1.0,10.0,10.0,0.1,10.0,-980.6447103657383
1.0,10.0,10.0,1.0,0.1,0.874818246017912
1.0,10.0,10.0,1.0,1.0,-137.73615773455484
1.0,10.0,10.0,1.0,10.0,-519.7763361978267
1.0,10.0,10.0,10.0,0.1,-1.4094789427928287
1.0,10.0,10.0,10.0,1.0,-0.06408200564416844
1.0,10.0,10.0,10.0,10.0,0.7750399386733552
10.0,0.1,0.1,0.1,0.1,-1.5962288893286867
10.0,0.1,0.1,0.1,1.0,-1.5962288893286867
10.0,0.1,0.1,0.1,10.0,-1.5962288893286867
10.0,0.1,0.1,1.0,0.1,-1.5962288893286867
10.0,0.1,0.1,1.0,1.0,-1.5962288893286867
10.0,0.1,0.1,1.0,10.0,-1.5962288893286867
10.0,0.1,0.1,10.0,0.1,-1.5962288893286867
10.0,0.1,0.1,10.0,1.0,-1.5962288893286867
10.0,0.1,0.1,10.0,10.0,-1.5962288893286867
10.0,0.1,1.0,0.1,0.1,-17.99073203774427
10.0,0.1,1.0,0.1,1.0,-18.00892071989371
10.0,0.1,1.0,0.1,10.0,-18.010740539701885
10.0,0.1,1.0,1.0,0.1,-9.290827618263675
10.0,0.1,1.0,1.0,1.0,-9.385751341803898
10.0,0.1,1.0,1.0,10.0,-9.395299250985422
10.0,0.1,1.0,10.0,0.1,0.6263388635827243
10.0,0.1,1.0,10.0,1.0,0.6404177658793099
10.0,0.1,1.0,10.0,10.0,0.6418252656924284
10.0,0.1,10.0,0.1,0.1,-6261.493081964388
10.0,0.1,10.0,0.1,1.0,-6263.186809604581
10.0,0.1,10.0,0.1,10.0,-6263.353134029819
10.0,0.1,10.0,1.0,0.1,-6127.116587295031
10.0,0.1,10.0,1.0,1.0,-6136.14173419651
10.0,0.1,10.0,1.0,10.0,-6137.150002862349
10.0,0.1,10.0,10.0,0.1,-5283.145214012767
10.0,0.1,10.0,10.0,1.0,-5310.185287776702
10.0,0.1,10.0,10.0,10.0,-5314.897449956091
10.0,1.0,0.1,0.1,0.1,-1.5962288893286867
10.0,1.0,0.1,0.1,1.0,-1.5962288893286867
10.0,1.0,0.1,0.1,10.0,-1.5962288893286867
10.0,1.0,0.1,1.0,0.1,-1.5962288893286867
10.0,1.0,0.1,1.0,1.0,-1.5962288893286867
10.0,1.0,0.1,1.0,10.0,-1.5962288893286867
10.0,1.0,0.1,10.0,0.1,-1.5962288893286867
10.0,1.0,0.1,10.0,1.0,-1.5962288893286867
10.0,1.0,0.1,10.0,10.0,-1.5962288893286867
10.0,1.0,1.0,0.1,0.1,-9.230198488825799
10.0,1.0,1.0,0.1,1.0,-9.331305582561471
10.0,1.0,1.0,0.1,10.0,-9.341523266684142
10.0,1.0,1.0,1.0,0.1,-3.8131871858092747
10.0,1.0,1.0,1.0,1.0,-4.28967212360578
10.0,1.0,1.0,1.0,10.0,-4.3400808696028985
10.0,1.0,1.0,10.0,0.1,0.3044981602991196
10.0,1.0,1.0,10.0,1.0,0.4429787606891066
10.0,1.0,1.0,10.0,10.0,0.45908962325211466
10.0,1.0,10.0,0.1,0.1,-6240.436128778594
10.0,1.0,10.0,0.1,1.0,-6255.078267710929
10.0,1.0,10.0,0.1,10.0,-6256.679874954815
10.0,1.0,10.0,1.0,0.1,-6048.530142599519
10.0,1.0,10.0,1.0,1.0,-6124.275809968922
10.0,1.0,10.0,1.0,10.0,-6133.435542086142
10.0,1.0,10.0,10.0,0.1,-5060.177756314543
10.0,1.0,10.0,10.0,1.0,-5281.079218139221
10.0,1.0,10.0,10.0,10.0,-5306.499570824232
10.0,10.0,0.1,0.1,0.1,-1.5962288893286867
10.0,10.0,0.1,0.1,1.0,-1.5962288893286867
10.0,10.0,0.1,0.1,10.0,-1.5962288893286867
10.0,10.0,0.1,1.0,0.1,-1.5962288893286867
10.0,10.0,0.1,1.0,1.0,-1.5962288893286867
10.0,10.0,0.1,1.0,10.0,-1.5962288893286867
10.0,10.0,0.1,10.0,0.1,-1.5962288893286867
10.0,10.0,0.1,10.0,1.0,-1.5962288893286867
10.0,10.0,0.1,10.0,10.0,-1.5962288893286867
10.0,10.0,1.0,0.1,0.1,0.34194646347141766
10.0,10.0,1.0,0.1,1.0,0.3623112294848796
10.0,10.0,1.0,0.1,10.0,0.3644110012464411
10.0,10.0,1.0,1.0,0.1,-0.03905349922367196
10.0,10.0,1.0,1.0,1.0,0.1195192089029894
10.0,10.0,1.0,1.0,10.0,0.13681449909127874
10.0,10.0,1.0,10.0,0.1,-1.3114219405640983
10.0,10.0,1.0,10.0,1.0,-1.0982880441904972
10.0,10.0,1.0,10.0,10.0,-1.0658704844953526
10.0,10.0,10.0,0.1,0.1,-6052.53958800448
10.0,10.0,10.0,0.1,1.0,-6124.983917385762
10.0,10.0,10.0,0.1,10.0,-6133.544681268322
10.0,10.0,10.0,1.0,0.1,-5614.038478196709
10.0,10.0,10.0,1.0,1.0,-5988.387359169206
10.0,10.0,10.0,1.0,10.0,-6060.521701773892
10.0,10.0,10.0,10.0,0.1,-2955.3826926162365
10.0,10.0,10.0,10.0,1.0,-4620.187585822498
10.0,10.0,10.0,10.0,10.0,-5236.042930169185
